"ServiceName","ResourceName","ResourceGroup","TlsVersion","Location","AdditionalInfo"
"Azure App Service","jobs-eus2-api-prd-01","rg-miraprod-eus2","1.2","East US 2","DefaultHostName: jobs-eus2-api-prd-01.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","as-playback","rg-miraprod-eus2","1.2","East US 2","DefaultHostName: as-playback.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","as-aisenrichment","rg-miraprod-eus2","1.2","East US 2","DefaultHostName: as-aisenrichment.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","app-wordpress-visitcanaldepanama-dev-use2","rg-wordpress-dev-eus2","1.2","East US 2","DefaultHostName: app-wordpress-visitcanaldepanama-dev-use2.azurewebsites.net; Sku: ; State: Stopped"
"Azure App Service","app-wordpress-pancanal-dev-eus2","rg-wordpress-dev-eus2","1.2","East US 2","DefaultHostName: app-wordpress-pancanal-dev-eus2.azurewebsites.net; Sku: ; State: Stopped"
"Azure App Service","app-wordpress-pancanal-prod-eus2","rg-wordpress-prod-eus2","1.2","East US 2","DefaultHostName: app-wordpress-pancanal-prod-eus2.azurewebsites.net; Sku: ; State: Stopped"
"Azure App Service","as-gestlabor-prod-eus2","RG-GestLabor-Prod-EUS2","1.2","East US 2","DefaultHostName: as-gestlabor-prod-eus2.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","as-ctracing-web","rg-ctracing-prod-eus2","1.2","East US 2","DefaultHostName: as-ctracing-web.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","as-ctracingapp-web","rg-ctracingapp-prod-eus2","1.2","East US 2","DefaultHostName: as-ctracingapp-web.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","as-ctracingapp-mobile","rg-ctracingapp-prod-eus2","1.2","East US 2","DefaultHostName: as-ctracingapp-mobile.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","micanaldev","MICARGEUS2DEV01","1.2","East US 2","DefaultHostName: micanaldev.azurewebsites.net; Sku: ; State: Stopped"
"Azure App Service","lenders-prd","swsf-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: lenders-prd.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","adv-brd","swsf-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: adv-brd.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","lenders-panama-canal","swsf-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: lenders-panama-canal.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","advisoryboard-panama-canal","swsf-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: advisoryboard-panama-canal.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","beneficios-prd","swsf-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: beneficios-prd.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","ahorro-prod","swsf-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: ahorro-prod.azurewebsites.net; Sku: ; State: Stopped"
